overlap_year,programme_code,programme_name,institution_code,measure,contemporary_source_vintage,contemporary_source_url,canonical_value,later_source_vintage,later_source_url,later_reported_value,difference,canonicalisation
2020,9147,Gestão,3065,mean_secondary_grade_placed,2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,146.9,2021,https://www.dges.gov.pt/guias/pdfs/statcol/2021/StatsCurso21.pdf,147.0,0.1,contemporary_source_vintage
2020,9147,Gestão,3092,mean_entrance_exam_grade_placed,2020,https://www.dges.gov.pt/guias/pdfs/statcol/2020/StatsCurso20.pdf,116.8,2021,https://www.dges.gov.pt/guias/pdfs/statcol/2021/StatsCurso21.pdf,116.9,0.1,contemporary_source_vintage
