source_document_year,source_url,source_pages,source_section,source_type,provider_bytes_bundled,year,programme_code,programme_name,degree,institution_code,institution_name,vacancies,applicants,first_choice_applicants,placements,first_choice_placements,last_placed_general_contingent_grade,mean_application_grade_placed,mean_entrance_exam_grade_placed,mean_secondary_grade_placed
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9147,Gestão,Licenciatura,3122,Instituto Politécnico de Portalegre - Escola Superior de Tecnologia e Gestão,43,94,18,24,18,113.7,124.6,117.2,128.6
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9147,Gestão,Licenciatura,3163,Instituto Politécnico de Viana do Castelo - Escola Superior de Tecnologia e Gestão,50,196,44,50,27,139.1,146.0,135.5,151.6
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2018,9147,Gestão,Licenciatura,6800,ISCTE - Instituto Universitário de Lisboa,175,1212,357,175,103,162.0,166.3,163.2,169.2
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9147,Gestão,Licenciatura,0170,Universidade dos Açores - Faculdade de Economia e Gestão,50,101,53,50,44,120.7,135.9,121.3,143.7
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9147,Gestão,Licenciatura,0300,Universidade de Aveiro,40,557,101,40,22,165.2,164.0,158.9,167.3
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9147,Gestão,Licenciatura,0400,Universidade da Beira Interior,65,381,70,66,19,145.9,151.4,148.2,153.0
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9147,Gestão,Licenciatura,0503,Universidade de Coimbra - Faculdade de Economia,89,812,142,89,37,159.5,165.0,163.0,167.0
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9147,Gestão,Licenciatura,0604,Universidade de Évora - Escola de Ciências Sociais,65,341,85,66,37,137.8,147.9,140.6,151.9
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9147,Gestão,Licenciatura,0904,Universidade Nova de Lisboa - Faculdade de Economia,195,1252,521,195,185,176.5,179.8,181.2,178.3
2019,https://www.dges.gov.pt/guias/pdfs/statcol/2019/StatsCurso19.pdf,C56-C57,9147 Gestão [Licenciatura],DGES StatsCurso comparative first-phase table,False,2019,9147,Gestão,Licenciatura,1000,Universidade do Minho,73,764,212,73,41,170.0,173.3,166.7,177.6
