year,vacancies,candidates,placements,remaining_vacancies
2013,51461,40419,37415,14176
2014,50820,42408,37778,13168
2015,50555,48271,42068,8714
2016,50688,49472,42958,8022
2017,50838,52434,44914,6225
2018,50852,49362,43992,7290
2019,50860,51036,44500,6734
2020,56121,62561,50964,6050
2021,55307,64004,49452,6393
2022,54641,61507,49806,5284
2023,54363,59073,49438,5212
2024,54666,58301,49963,4996
2025,55292,48718,43899,11513
2026,56228,60513,49991,6639
