source_document_year,source_url,programme_code,programme_name,institution_code,institution_name,prior_programme_code,reason
2021,https://www.dges.gov.pt/guias/pdfs/statcol/2021/StatsCurso21.pdf,9119,Engenharia Informática,0903,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,G005,different_programme_code_in_2020
2021,https://www.dges.gov.pt/guias/pdfs/statcol/2021/StatsCurso21.pdf,9119,Engenharia Informática,1000,Universidade do Minho,G005,different_programme_code_in_2020
2021,https://www.dges.gov.pt/guias/pdfs/statcol/2021/StatsCurso21.pdf,9219,Psicologia,0507,Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,9555,different_programme_code_in_2020
2021,https://www.dges.gov.pt/guias/pdfs/statcol/2021/StatsCurso21.pdf,9219,Psicologia,1000,Universidade do Minho,9555,different_programme_code_in_2020
2021,https://www.dges.gov.pt/guias/pdfs/statcol/2021/StatsCurso21.pdf,9219,Psicologia,1109,Universidade do Porto - Faculdade de Psicologia e de Ciências da Educação,9555,different_programme_code_in_2020
2021,https://www.dges.gov.pt/guias/pdfs/statcol/2021/StatsCurso21.pdf,9219,Psicologia,1511,Universidade de Lisboa - Faculdade de Psicologia,9555,different_programme_code_in_2020
