year,area,vacancies,first_choice_applicants,placements,remaining_vacancies,source_document,source_table
2025,"Desconhecido ou não especificado",61,25,59,2,nota_cna25_1f_1.pdf,Quadro V
2026,"Formação de Professores/Formadores e Ciências da Educação",1845,1936,1755,104,nota_cna26_1f_2.pdf,Quadro V
2026,"Artes",3822,4376,3593,272,nota_cna26_1f_2.pdf,Quadro V
2026,"Humanidades",2974,2822,2902,134,nota_cna26_1f_2.pdf,Quadro V
2026,"Ciências Sociais e do Comportamento",4459,6453,4324,180,nota_cna26_1f_2.pdf,Quadro V
2026,"Informação e Jornalismo",965,1546,964,12,nota_cna26_1f_2.pdf,Quadro V
2026,"Ciências Empresariais",7869,9899,7282,676,nota_cna26_1f_2.pdf,Quadro V
2026,"Direito",1848,3858,1838,26,nota_cna26_1f_2.pdf,Quadro V
2026,"Ciências da Vida",2286,1843,2000,293,nota_cna26_1f_2.pdf,Quadro V
2026,"Ciências Físicas",1075,561,773,305,nota_cna26_1f_2.pdf,Quadro V
2026,"Matemática e Estatística",854,788,784,71,nota_cna26_1f_2.pdf,Quadro V
2026,"Informática",1693,961,1312,383,nota_cna26_1f_2.pdf,Quadro V
2026,"Engenharia e Técnicas Afins",10548,8790,8557,1997,nota_cna26_1f_2.pdf,Quadro V
2026,"Indústrias Transformadoras",522,115,256,266,nota_cna26_1f_2.pdf,Quadro V
2026,"Arquitectura e Construção",1752,2045,1499,259,nota_cna26_1f_2.pdf,Quadro V
2026,"Agricultura, Silvicultura e Pescas",713,216,307,406,nota_cna26_1f_2.pdf,Quadro V
2026,"Ciências Veterinárias",603,876,552,55,nota_cna26_1f_2.pdf,Quadro V
2026,"Saúde",7579,9745,7340,276,nota_cna26_1f_2.pdf,Quadro V
2026,"Serviços Sociais",1045,859,955,110,nota_cna26_1f_2.pdf,Quadro V
2026,"Serviços Pessoais",3179,2534,2583,629,nota_cna26_1f_2.pdf,Quadro V
2026,"Serviços de Transporte",31,60,31,0,nota_cna26_1f_2.pdf,Quadro V
2026,"Protecção do Ambiente",470,144,302,170,nota_cna26_1f_2.pdf,Quadro V
2026,"Serviços de Segurança",35,16,20,15,nota_cna26_1f_2.pdf,Quadro V
2026,"Desconhecido ou não especificado",61,70,62,0,nota_cna26_1f_2.pdf,Quadro V
