year,area,vacancies,first_choice_applicants,placements,remaining_vacancies,source_document,source_table
2020,Ciências Empresariais,8570,9992,8212,553,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V
2020,Ciências Físicas,1482,1247,1412,95,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V
2020,Ciências Sociais e do Comportamento,4183,6115,4228,57,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V
2020,Ciências Veterinárias,587,844,561,34,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V
2020,Ciências da Vida,2522,2316,2390,170,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V
2020,Desconhecido ou não especificado,68,91,70,0,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V
2020,Direito,1982,3590,2007,17,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V
2020,Engenharia e Técnicas Afins,10501,9493,8669,1890,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V
2020,Formação de Professores/Formadores e Ciências da Educação,1345,970,1051,303,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V
2020,Humanidades,2772,3010,2729,113,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V
2020,Indústrias Transformadoras,574,171,336,242,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V
2020,Informação e Jornalismo,959,1472,959,15,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V
2020,Informática,1280,949,999,291,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V
2020,Matemática e Estatística,707,636,654,57,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V
2020,Proteção do Ambiente,683,247,464,224,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V
2020,Saúde,6961,10684,6929,181,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V
2020,Serviços Pessoais,3151,3738,2942,264,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V
2020,Serviços Sociais,1197,1009,1075,132,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V
2020,Serviços de Segurança,52,7,25,27,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V
2020,Serviços de Transporte,89,127,92,0,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V
2021,"Agricultura, Silvicultura e Pescas",818,224,362,459,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2021.pdf,Quadro V
2021,Arquitetura e Construção,1892,1423,1319,586,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2021.pdf,Quadro V
2021,Artes,3705,4574,3479,282,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2021.pdf,Quadro V
2021,Ciências Empresariais,8103,9422,7618,577,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2021.pdf,Quadro V
2021,Ciências Físicas,1175,982,1058,126,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2021.pdf,Quadro V
2021,Ciências Sociais e do Comportamento,4359,7099,4326,92,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2021.pdf,Quadro V
2021,Ciências Veterinárias,596,1131,608,0,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2021.pdf,Quadro V
2021,Ciências da Vida,2408,2964,2289,132,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2021.pdf,Quadro V
2021,Desconhecido ou não especificado,71,124,71,0,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2021.pdf,Quadro V
2021,Direito,1950,3868,1985,0,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2021.pdf,Quadro V
2021,Engenharia e Técnicas Afins,10363,8331,8011,2390,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2021.pdf,Quadro V
2021,Formação de Professores/Formadores e Ciências da Educação,1317,992,1072,252,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2021.pdf,Quadro V
2021,Humanidades,2798,3052,2759,89,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2021.pdf,Quadro V
2021,Indústrias Transformadoras,591,147,304,290,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2021.pdf,Quadro V
2021,Informação e Jornalismo,954,1692,971,0,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2021.pdf,Quadro V
2021,Informática,1458,830,1092,369,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2021.pdf,Quadro V
2021,Matemática e Estatística,705,576,619,86,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2021.pdf,Quadro V
2021,Proteção do Ambiente,644,216,444,201,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2021.pdf,Quadro V
2021,Saúde,6962,11751,6998,38,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2021.pdf,Quadro V
2021,Serviços Pessoais,3107,3409,2860,295,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2021.pdf,Quadro V
2021,Serviços Sociais,1180,1079,1080,104,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2021.pdf,Quadro V
2021,Serviços de Segurança,50,11,25,25,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2021.pdf,Quadro V
2021,Serviços de Transporte,101,107,102,0,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2021.pdf,Quadro V
2022,"Agricultura, Silvicultura e Pescas",805,238,386,422,resultados_da_1_fase_do_concurso_nacional_de_acesso.pdf,Quadro V
2022,Arquitetura e Construção,1762,1545,1323,441,resultados_da_1_fase_do_concurso_nacional_de_acesso.pdf,Quadro V
2022,Artes,3780,4144,3553,277,resultados_da_1_fase_do_concurso_nacional_de_acesso.pdf,Quadro V
2022,Ciências Empresariais,7779,9335,7442,427,resultados_da_1_fase_do_concurso_nacional_de_acesso.pdf,Quadro V
2022,Ciências Físicas,1164,884,1013,154,resultados_da_1_fase_do_concurso_nacional_de_acesso.pdf,Quadro V
2022,Ciências Sociais e do Comportamento,4207,6640,4187,74,resultados_da_1_fase_do_concurso_nacional_de_acesso.pdf,Quadro V
2022,Ciências Veterinárias,584,991,597,0,resultados_da_1_fase_do_concurso_nacional_de_acesso.pdf,Quadro V
2022,Ciências da Vida,2181,2416,2126,67,resultados_da_1_fase_do_concurso_nacional_de_acesso.pdf,Quadro V
2022,Desconhecido ou não especificado,66,88,66,0,resultados_da_1_fase_do_concurso_nacional_de_acesso.pdf,Quadro V
2022,Direito,1896,3477,1911,0,resultados_da_1_fase_do_concurso_nacional_de_acesso.pdf,Quadro V
2022,Engenharia e Técnicas Afins,10275,8904,8296,2001,resultados_da_1_fase_do_concurso_nacional_de_acesso.pdf,Quadro V
2022,Formação de Professores/Formadores e Ciências da Educação,1365,1172,1161,212,resultados_da_1_fase_do_concurso_nacional_de_acesso.pdf,Quadro V
2022,Humanidades,2851,3301,2838,66,resultados_da_1_fase_do_concurso_nacional_de_acesso.pdf,Quadro V
2022,Indústrias Transformadoras,543,121,294,251,resultados_da_1_fase_do_concurso_nacional_de_acesso.pdf,Quadro V
2022,Informação e Jornalismo,954,1656,962,0,resultados_da_1_fase_do_concurso_nacional_de_acesso.pdf,Quadro V
2022,Informática,1631,1383,1349,289,resultados_da_1_fase_do_concurso_nacional_de_acesso.pdf,Quadro V
2022,Matemática e Estatística,743,702,708,35,resultados_da_1_fase_do_concurso_nacional_de_acesso.pdf,Quadro V
2022,Proteção do Ambiente,573,247,421,156,resultados_da_1_fase_do_concurso_nacional_de_acesso.pdf,Quadro V
2022,Saúde,7099,10304,7129,21,resultados_da_1_fase_do_concurso_nacional_de_acesso.pdf,Quadro V
2022,Serviços Pessoais,3105,2936,2846,287,resultados_da_1_fase_do_concurso_nacional_de_acesso.pdf,Quadro V
2022,Serviços Sociais,1148,894,1086,83,resultados_da_1_fase_do_concurso_nacional_de_acesso.pdf,Quadro V
2022,Serviços de Segurança,42,13,21,21,resultados_da_1_fase_do_concurso_nacional_de_acesso.pdf,Quadro V
2022,Serviços de Transporte,88,116,91,0,resultados_da_1_fase_do_concurso_nacional_de_acesso.pdf,Quadro V
2023,"Agricultura, Silvicultura e Pescas",723,201,291,432,nota_cna23_1f_1.pdf,Quadro V
2023,Arquitetura e Construção,1696,1413,1299,400,nota_cna23_1f_1.pdf,Quadro V
2023,Artes,3740,4262,3573,209,nota_cna23_1f_1.pdf,Quadro V
2023,Ciências Empresariais,7649,9175,7344,363,nota_cna23_1f_1.pdf,Quadro V
2023,Ciências Físicas,1076,754,882,196,nota_cna23_1f_1.pdf,Quadro V
2023,Ciências Sociais e do Comportamento,4180,6419,4178,42,nota_cna23_1f_1.pdf,Quadro V
2023,Ciências Veterinárias,587,828,588,0,nota_cna23_1f_1.pdf,Quadro V
2023,Ciências da Vida,2248,2098,2119,140,nota_cna23_1f_1.pdf,Quadro V
2023,Desconhecido ou não especificado,61,78,61,0,nota_cna23_1f_1.pdf,Quadro V
2023,Direito,1840,3458,1854,0,nota_cna23_1f_1.pdf,Quadro V
2023,Engenharia e Técnicas Afins,10242,8635,8233,2018,nota_cna23_1f_1.pdf,Quadro V
2023,Formação de Professores/Formadores e Ciências da Educação,1437,1657,1356,91,nota_cna23_1f_1.pdf,Quadro V
2023,Humanidades,2887,3262,2897,27,nota_cna23_1f_1.pdf,Quadro V
2023,Indústrias Transformadoras,554,142,284,270,nota_cna23_1f_1.pdf,Quadro V
2023,Informação e Jornalismo,949,1636,958,0,nota_cna23_1f_1.pdf,Quadro V
2023,Informática,1786,1335,1447,344,nota_cna23_1f_1.pdf,Quadro V
2023,Matemática e Estatística,753,705,720,34,nota_cna23_1f_1.pdf,Quadro V
2023,Proteção do Ambiente,494,177,334,161,nota_cna23_1f_1.pdf,Quadro V
2023,Saúde,7098,8692,7021,91,nota_cna23_1f_1.pdf,Quadro V
2023,Serviços Pessoais,3076,3010,2810,289,nota_cna23_1f_1.pdf,Quadro V
2023,Serviços Sociais,1155,988,1075,86,nota_cna23_1f_1.pdf,Quadro V
2023,Serviços de Segurança,40,8,21,19,nota_cna23_1f_1.pdf,Quadro V
2023,Serviços de Transporte,92,140,93,0,nota_cna23_1f_1.pdf,Quadro V
2024,"Agricultura, Silvicultura e Pescas",690,201,261,429,nota_cna24_1f_1.pdf,Quadro V
2024,Arquitetura e Construção,1697,1817,1387,316,nota_cna24_1f_1.pdf,Quadro V
2024,Artes,3774,4623,3642,165,nota_cna24_1f_1.pdf,Quadro V
2024,Ciências Empresariais,7683,9036,7377,378,nota_cna24_1f_1.pdf,Quadro V
2024,Ciências Físicas,1075,719,880,197,nota_cna24_1f_1.pdf,Quadro V
2024,Ciências Sociais e do Comportamento,4232,6062,4247,22,nota_cna24_1f_1.pdf,Quadro V
2024,Ciências Veterinárias,590,768,568,26,nota_cna24_1f_1.pdf,Quadro V
2024,Ciências da Vida,2307,2009,2077,232,nota_cna24_1f_1.pdf,Quadro V
2024,Desconhecido ou não especificado,61,68,62,0,nota_cna24_1f_1.pdf,Quadro V
2024,Direito,1851,3362,1861,2,nota_cna24_1f_1.pdf,Quadro V
2024,Engenharia e Técnicas Afins,10242,8955,8547,1702,nota_cna24_1f_1.pdf,Quadro V
2024,Formação de Professores/Formadores e Ciências da Educação,1487,1694,1442,54,nota_cna24_1f_1.pdf,Quadro V
2024,Humanidades,2892,3063,2910,31,nota_cna24_1f_1.pdf,Quadro V
2024,Indústrias Transformadoras,506,134,294,212,nota_cna24_1f_1.pdf,Quadro V
2024,Informação e Jornalismo,932,1475,940,0,nota_cna24_1f_1.pdf,Quadro V
2024,Informática,1803,1375,1460,346,nota_cna24_1f_1.pdf,Quadro V
2024,Matemática e Estatística,766,707,720,46,nota_cna24_1f_1.pdf,Quadro V
2024,Proteção do Ambiente,445,147,286,159,nota_cna24_1f_1.pdf,Quadro V
2024,Saúde,7278,8240,7037,249,nota_cna24_1f_1.pdf,Quadro V
2024,Serviços Pessoais,3066,2802,2783,313,nota_cna24_1f_1.pdf,Quadro V
2024,Serviços Sociais,1156,896,1068,97,nota_cna24_1f_1.pdf,Quadro V
2024,Serviços de Segurança,40,7,20,20,nota_cna24_1f_1.pdf,Quadro V
2024,Serviços de Transporte,93,141,94,0,nota_cna24_1f_1.pdf,Quadro V
2025,"Agricultura, Silvicultura e Pescas",694,176,250,444,nota_cna25_1f_1.pdf,Quadro V
2025,Arquitetura e Construção,1685,1706,1333,353,nota_cna25_1f_1.pdf,Quadro V
2025,Artes,3825,3652,3360,481,nota_cna25_1f_1.pdf,Quadro V
2025,Ciências Empresariais,7822,6619,6075,1781,nota_cna25_1f_1.pdf,Quadro V
2025,Ciências Físicas,1066,591,649,417,nota_cna25_1f_1.pdf,Quadro V
2025,Ciências Sociais e do Comportamento,4265,5486,4044,242,nota_cna25_1f_1.pdf,Quadro V
