stem_code,stem_component,first_year,last_year,placements_first,placements_last,placement_change,placement_share_first,placement_share_last,placement_share_change_pp,occupancy_first,occupancy_last,occupancy_change_pp,first_choice_pressure_first,first_choice_pressure_last
05,"Natural sciences, mathematics and statistics",2023,2026,3721,3557,-0.04407417361,0.07526598972,0.07115280751,-0.4113182219,0.9126808928,0.843890866,-6.879002686,0.8724552367,0.7572953737
06,Information and communication technologies,2023,2026,1447,1312,-0.09329647547,0.02926898337,0.02624472405,-0.3024259323,0.8101903695,0.7749556999,-3.52346696,0.7474804031,0.5676314235
07,"Engineering, manufacturing and construction",2023,2026,9816,10312,0.05052974735,0.1985517213,0.2062771299,0.7725408535,0.7857829011,0.8042427078,1.845980679,0.8157220621,0.8540009359
STEM,All registered STEM,2023,2026,14984,15181,0.01314735718,0.3030866944,0.3036746614,0.05879669935,0.8163443203,0.8105178857,-0.5826434604,0.821683465,0.8063534437
