year,area,vacancies,first_choice_applicants,placements,remaining_vacancies,source_document,source_table,canonical_area,stem_code,national_placements,stem_component,placement_share,occupancy_rate,first_choice_pressure
2017,Ciências Físicas,1260,963,1185,83,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII,Ciências Físicas,05,44914,"Natural sciences, mathematics and statistics",0.02638375562,0.9404761905,0.7642857143
2017,Ciências da Vida,2248,2185,2107,145,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII,Ciências da Vida,05,44914,"Natural sciences, mathematics and statistics",0.04691187603,0.9372775801,0.971975089
2017,Matemática e Estatística,537,601,524,13,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII,Matemática e Estatística,05,44914,"Natural sciences, mathematics and statistics",0.01166674088,0.9757914339,1.119180633
2017,Informática,1028,807,820,210,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII,Informática,06,44914,Information and communication technologies,0.01825711359,0.7976653696,0.7850194553
2017,Arquitectura e Construção,1935,878,1309,635,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII,Arquitetura e Construção,07,44914,"Engineering, manufacturing and construction",0.02914458743,0.6764857881,0.45374677
2017,Engenharia e Técnicas Afins,9063,9048,7664,1412,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII,Engenharia e Técnicas Afins,07,44914,"Engineering, manufacturing and construction",0.1706372178,0.8456361028,0.9983449189
2017,Indústrias Transformadoras,584,218,317,267,ingresso_no_ensino_superior_publico_2017-2018.pdf,Quadro XII,Indústrias Transformadoras,07,44914,"Engineering, manufacturing and construction",0.007057932939,0.5428082192,0.3732876712
2018,Ciências Físicas,1301,1198,1234,78,resultados_da_1_fase_do_concurso_nacional_de_acesso_-_anexo_1.pdf,Quadro V,Ciências Físicas,05,43992,"Natural sciences, mathematics and statistics",0.02805055465,0.948501153,0.9208301307
2018,Ciências da Vida,2254,2133,2066,191,resultados_da_1_fase_do_concurso_nacional_de_acesso_-_anexo_1.pdf,Quadro V,Ciências da Vida,05,43992,"Natural sciences, mathematics and statistics",0.0469630842,0.916592724,0.9463176575
2018,Matemática e Estatística,560,574,537,23,resultados_da_1_fase_do_concurso_nacional_de_acesso_-_anexo_1.pdf,Quadro V,Matemática e Estatística,05,43992,"Natural sciences, mathematics and statistics",0.01220676487,0.9589285714,1.025
2018,Informática,1079,665,763,317,resultados_da_1_fase_do_concurso_nacional_de_acesso_-_anexo_1.pdf,Quadro V,Informática,06,43992,Information and communication technologies,0.01734406256,0.7071362373,0.6163113994
2018,Arquitectura e Construção,1796,901,1204,596,resultados_da_1_fase_do_concurso_nacional_de_acesso_-_anexo_1.pdf,Quadro V,Arquitetura e Construção,07,43992,"Engineering, manufacturing and construction",0.02736861247,0.6703786192,0.5016703786
2018,Engenharia e Técnicas Afins,9277,8005,7461,1829,resultados_da_1_fase_do_concurso_nacional_de_acesso_-_anexo_1.pdf,Quadro V,Engenharia e Técnicas Afins,07,43992,"Engineering, manufacturing and construction",0.169599018,0.8042470626,0.8628867091
2018,Indústrias Transformadoras,542,190,274,268,resultados_da_1_fase_do_concurso_nacional_de_acesso_-_anexo_1.pdf,Quadro V,Indústrias Transformadoras,07,43992,"Engineering, manufacturing and construction",0.006228405165,0.5055350554,0.3505535055
2020,Ciências Físicas,1482,1247,1412,95,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V,Ciências Físicas,05,50964,"Natural sciences, mathematics and statistics",0.02770583157,0.9527665317,0.8414304993
2020,Ciências da Vida,2522,2316,2390,170,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V,Ciências da Vida,05,50964,"Natural sciences, mathematics and statistics",0.04689584805,0.9476605868,0.9183187946
2020,Matemática e Estatística,707,636,654,57,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V,Matemática e Estatística,05,50964,"Natural sciences, mathematics and statistics",0.01283258771,0.9250353607,0.8995756719
2020,Informática,1280,949,999,291,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V,Informática,06,50964,Information and communication technologies,0.01960207205,0.78046875,0.74140625
2020,Arquitetura e Construção,1905,1413,1426,494,anexo_i_-_resultados_da_1_fase_do_concurso_nacional_de_acesso_2020.pdf,Quadro V,Arquitetura e Construção,07,50964,"Engineering, manufacturing and construction",0.02798053528,0.7485564304,0.7417322835
