specification,series_code,series_label,n_obs,first_year,last_year,excluded_years,missing_source_years,placement_log_slope,placement_annual_trend_percent,placement_r_squared,placement_share_slope_pp_per_year,placement_share_r_squared,occupancy_slope_pp_per_year,occupancy_r_squared,first_choice_pressure_slope_pp_per_year,first_choice_pressure_r_squared
all_observed,05,"Natural sciences, mathematics and statistics",9,2017,2026,,2019,-0.02012543388,-1.99242691,0.3442752538,-0.2126323385,0.8575556357,-1.646892328,0.4877461312,-2.719711689,0.444247281
all_observed,06,Information and communication technologies,9,2017,2026,,2019,0.06100019121,6.289911742,0.6160456206,0.1202626272,0.6460008238,-0.5327500888,0.03941072952,-1.412839293,0.126289762
all_observed,07,"Engineering, manufacturing and construction",9,2017,2026,,2019,0.007823530033,0.7854213811,0.1878001423,0.01534055713,0.01123775888,-0.03754128195,0.001658698771,-0.1097105934,0.00551866275
all_observed,STEM,All registered STEM,9,2017,2026,,2019,0.004559720296,0.4570131639,0.04992464973,-0.07702915412,0.2529085073,-0.5053637908,0.1608352848,-0.9049094684,0.2696838077
exclude_pandemic_years,05,"Natural sciences, mathematics and statistics",7,2017,2026,"2020,2021",2019,-0.01527654818,-1.516045364,0.3464487958,-0.1962921917,0.9241589086,-1.553200975,0.455059201,-2.569857809,0.5272502684
exclude_pandemic_years,06,Information and communication technologies,7,2017,2026,"2020,2021",2019,0.06128739761,6.320443269,0.6039314938,0.113212228,0.6262851726,-0.5117254837,0.03450318949,-1.503369757,0.1555825167
exclude_pandemic_years,07,"Engineering, manufacturing and construction",7,2017,2026,"2020,2021",2019,0.0102848455,1.033791631,0.390712965,0.008707009867,0.006386787582,-0.03733195292,0.002043638949,-0.1194509801,0.008009972814
exclude_pandemic_years,STEM,All registered STEM,7,2017,2026,"2020,2021",2019,0.007432746464,0.7460437889,0.1663211093,-0.07437295382,0.5623241591,-0.4780040838,0.149978495,-0.8821561211,0.251443646
