year,flow_type,total_flows,comparable_district_flows,comparable_origin_coverage,same_district_share,same_district_count,conditional_entropy,normalised_mutual_information
2023,first_choice,59073,56286,0.9528210857752273,0.6402835518601429,36039,1.1803734046575312,0.4195768739750252
2023,placement,49438,46884,0.9483393341154578,0.5555413360634758,26046,1.5459543809794585,0.3562756524594734
2024,first_choice,58301,55430,0.9507555616541741,0.6523723615370738,36161,1.1416771811669915,0.42886061005632753
2024,placement,49963,47318,0.9470608250105078,0.5725516716682869,27092,1.4943628817361412,0.37149944452771305
2025,first_choice,48718,46414,0.9527074182027176,0.6396776834575775,29690,1.1380424637036137,0.4119787924029347
2025,placement,43899,41716,0.9502722157680129,0.5786508773612044,24139,1.4288362075992462,0.37078582331249776
