programme_code,programme_name,stable_institutions_2018_2021,stable_institution_codes,minimum_required,gate_passed
9081,Economia,13,0170|0204|0300|0400|0503|0604|0904|1000|1104|1202|1308|1517|6800,6,True
9119,Engenharia Informática,23,0203|0300|0400|0501|0602|1203|1307|1503|3023|3043|3053|3064|3065|3092|3102|3122|3135|3138|3152|3163|3182|3242|6800,6,True
9147,Gestão,22,0170|0300|0400|0503|0604|0904|1000|1104|1202|1308|1517|3043|3054|3065|3082|3087|3092|3102|3117|3122|3163|6800,6,True
9219,Psicologia,8,0150|0201|0300|0400|0604|1202|1306|6800,6,True
9500,Enfermagem,21,1320|3013|3155|7001|7002|7003|7005|7010|7015|7020|7030|7035|7040|7045|7055|7065|7075|7080|7085|7092|7093,6,True
