programme_code,year,outcome,n,r_squared,log_demand_coefficient
9081,2018,last_placed_general_contingent_grade,12,0.4592875232349539,19.518275901236102
9081,2018,mean_application_grade_placed,12,0.5781644469713213,19.74011850736813
9081,2019,last_placed_general_contingent_grade,12,0.6269078366882339,35.4393933900207
9081,2019,mean_application_grade_placed,12,0.5589516580739011,24.49576019125038
9081,2020,last_placed_general_contingent_grade,12,0.6056548881393917,29.691584967297562
9081,2020,mean_application_grade_placed,12,0.38956704384327556,17.510496479455387
9081,2021,last_placed_general_contingent_grade,12,0.665323933527429,23.447123327579664
9081,2021,mean_application_grade_placed,12,0.6904832361145132,17.260505335344707
9119,2018,last_placed_general_contingent_grade,23,0.6468740356016462,20.10828191491629
9119,2018,mean_application_grade_placed,23,0.49834918489828506,14.548835606996235
9119,2019,last_placed_general_contingent_grade,23,0.5585645073947305,18.45107274413113
9119,2019,mean_application_grade_placed,23,0.619745991304578,14.39968126567442
9119,2020,last_placed_general_contingent_grade,23,0.7433505153721485,22.384668565067127
9119,2020,mean_application_grade_placed,23,0.7658243022097422,17.072379896075212
9119,2021,last_placed_general_contingent_grade,23,0.3161990239559155,13.930451333658043
9119,2021,mean_application_grade_placed,23,0.5662636217211974,11.494162585582867
9147,2018,last_placed_general_contingent_grade,22,0.5978495782435318,29.02185964966376
9147,2018,mean_application_grade_placed,22,0.5527606348315423,22.404695169759076
9147,2019,last_placed_general_contingent_grade,22,0.7152788158566366,36.689804756802275
9147,2019,mean_application_grade_placed,22,0.6536514440877605,27.331408471406284
9147,2020,last_placed_general_contingent_grade,22,0.5878574736203721,35.09863383485731
9147,2020,mean_application_grade_placed,22,0.5085145311745702,26.894434260053956
9147,2021,last_placed_general_contingent_grade,22,0.59586560987273,28.318796454820333
9147,2021,mean_application_grade_placed,22,0.43054923467326944,18.102402522851904
9219,2018,last_placed_general_contingent_grade,8,0.6988427643755899,14.119574394926431
9219,2018,mean_application_grade_placed,8,0.581806463291305,8.868729654255517
9219,2019,last_placed_general_contingent_grade,8,0.4950767833797075,12.619387035931837
9219,2019,mean_application_grade_placed,8,0.3555274640989442,7.114241283861958
9219,2020,last_placed_general_contingent_grade,8,0.6916977415754936,15.023904925493582
9219,2020,mean_application_grade_placed,8,0.5518072303538704,10.63340049919114
9219,2021,last_placed_general_contingent_grade,8,0.7050971596098425,13.945059426080235
9219,2021,mean_application_grade_placed,8,0.4627601049746447,8.31435844378953
9500,2018,last_placed_general_contingent_grade,21,0.31996649839876734,15.664590128916483
9500,2018,mean_application_grade_placed,21,0.18604611159485163,9.284741317468873
9500,2019,last_placed_general_contingent_grade,21,0.3232126501982141,17.11232338713156
9500,2019,mean_application_grade_placed,21,0.2035754308513189,10.291927200748908
9500,2020,last_placed_general_contingent_grade,21,0.48355190159088424,15.090899961597396
9500,2020,mean_application_grade_placed,21,0.44910769027123365,15.35433384454868
9500,2021,last_placed_general_contingent_grade,21,0.40907426992987295,16.220975896234243
9500,2021,mean_application_grade_placed,21,0.2798458521953162,12.581095021250485
